locationName,parkID,parkName,lat,lng,capacity,emptyCapacity,updateDate,workHours,parkType,freeTime,monthlyFee,tariff,district,address,areaPolygon
0115 Ahmet Kutsi Tecer Caddesi,939,Ahmet Kutsi Tecer Caddesi 1,41.0086,28.8871,50,29,17.05.2024 16:46:49,09:00-17:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 90,00;4-8 Saat : 110,00;Tam Gün : 145,00",GÜNGÖREN,ABDURRAHMAN NAZİF GÜRMAN CADDESİ AHMET KUTSİ TECER CADDESİ YILDIZ SARAYI MÜZESİNDEN BAŞLAYIP VEYSEL KARANİ CAMİİNDE BİTEN YOLÜSTÜ ALAN,"POLYGON ((28.887007178240676 41.008803325496281, 28.886972309523482 41.008795229421992, 28.8871734751996 41.008447097287, 28.887229801588912 41.008463289520115, 28.887007178240676 41.008803325496281))"
0773 Akasyalı Sokak Tenis Kulübü Önü,1662,Akasyalı Sokak Tenis Kulubü Önü 1,41.0861,29.0115,45,25,17.05.2024 17:09:42,08:30-17:30,YOL ÜSTÜ,15,1500.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",BEŞİKTAŞ,BEŞİKTAŞ KONAKLAR MH AKASYALI SOKAK,"POLYGON ((29.011573869951487 41.086068434462817, 29.011534977920771 41.08603912062997, 29.011365998752833 41.0862048952367, 29.011407572992564 41.086229154900153, 29.011573869951487 41.086068434462817))"
0265 Akçam Sokak (İş Bankası Önü),224,Akçam Sokak (İş Bankası Önü) 1,41.0866,29.0081,30,25,17.05.2024 18:04:06,08:00-20:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",BEŞİKTAŞ,4 LEVENT METRO ÇIKIŞI AKÇAM SOKAK BEŞİKTAŞ,"POLYGON ((29.008092906081135 41.086573814720076, 29.008068095647747 41.086597063433892, 29.008293401204998 41.086693596048889, 29.008314858877117 41.08666731493215, 29.008092906081135 41.086573814720076))"
0334 Akdeniz Caddesi,825,Akdeniz Caddesi 1,41.017,28.9431,25,25,17.05.2024 17:56:55,09:00-18:00,YOL ÜSTÜ,15,1350.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,HASAN HALİFE MAHALLESİ AKDENİZ CADDESİ AKŞEMSETTİN MAH,"POLYGON ((28.942882411896747 41.016894829683537, 28.942834132134479 41.01692923376239, 28.943276696621936 41.01719839446487, 28.943322294175189 41.017153871717809, 28.942882411896747 41.016894829683537))"
0334 Akdeniz Caddesi,826,Akdeniz Caddesi 2,41.0174,28.9436,25,25,17.05.2024 17:49:35,09:00-18:00,YOL ÜSTÜ,15,1350.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,HASAN HALİFE MAHALLESİ AKDENİZ CADDESİ AKŞEMSETTİN MAH,"POLYGON ((28.943402320146561 41.017238910864776, 28.943898528814316 41.017526284058604, 28.943852931261063 41.017572830303024, 28.943351358175278 41.017271291005606, 28.943402320146561 41.017238910864776))"
0334 Akdeniz Caddesi,827,Akdeniz Caddesi 3,41.0181,28.9449,25,25,17.05.2024 15:44:53,09:00-18:00,YOL ÜSTÜ,15,1350.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,HASAN HALİFE MAHALLESİ AKDENİZ CADDESİ AKŞEMSETTİN MAH,"POLYGON ((28.944631061096427 41.0179541323143, 28.944580099125144 41.017986512103569, 28.945073625583884 41.018281976945374, 28.945124587555167 41.018249597301342, 28.944631061096427 41.0179541323143))"
0334 Akdeniz Caddesi,828,Akdeniz Caddesi 4,41.0175,28.9435,25,25,17.05.2024 17:52:25,09:00-18:00,YOL ÜSTÜ,15,1350.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",FATİH,HASAN HALİFE MAHALLESİ AKDENİZ CADDESİ AKŞEMSETTİN MAH,"POLYGON ((28.943277833373909 41.01738634695446, 28.94373917332447 41.017653482042547, 28.943784770877723 41.017621102089571, 28.943307337673073 41.017341824334444, 28.943277833373909 41.01738634695446))"
0565 Akgün Caddesi,1250,Akgün Caddesi 1,41.129,29.0248,50,36,17.05.2024 16:40:16,07:00-17:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",SARIYER,BÜYÜKDERE CAD.AKGÜL SOKAK,"POLYGON ((29.024797176782158 41.129212555773918, 29.024727439347771 41.12919437293391, 29.02488568967965 41.12872969864631, 29.02500638908532 41.128737779966407, 29.024797176782158 41.129212555773918))"
0565 Akgün Caddesi,1306,Akgün Caddesi 2,41.1289,29.0249,45,45,17.05.2024 16:50:02,07:00-17:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",SARIYER,BÜYÜKDERE CAD.AKGÜL SOKAK,"POLYGON ((29.0250646248907 41.128672683725014, 29.025037802800551 41.12861813474106, 29.025617159947767 41.128541362020165, 29.025590337857619 41.128620155074614, 29.0250646248907 41.128672683725014))"
0531 Albay Faik Sözdener,2497,Albay Faik Sözdener 4,40.9868,29.0216,40,12,17.05.2024 18:54:39,09:30-19:00,YOL ÜSTÜ,15,1900.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 100,00;4-8 Saat : 125,00;Tam Gün : 145,00",KADIKÖY,KADIKÖY RIHTIM SONU MODA YOKUŞU,"POLYGON ((29.021579608294392 40.9868084570797, 29.021654710146809 40.986801370650561, 29.021625205847645 40.986635345521535, 29.02155412730875 40.986646481366428, 29.021579608294392 40.9868084570797))"
