properties,latitude,longitude
{'DURAK_ADI': 'DEPREM KONUTLARI'},41.1169807531,28.8015983071
{'DURAK_ADI': 'ESKİ KİLYOS CAD.'},41.172275907,29.0533482935
{'DURAK_ADI': 'DEMİRCİKÖY CAD.'},41.2348356514,29.0559261213
{'DURAK_ADI': 'Türkoba Sınır Cad.'},41.0314006717,28.5325733419
{'DURAK_ADI': 'Atatürk 2 Cad.'},41.0318083449,28.5457460285
{'DURAK_ADI': 'Havuz Sk.'},41.0309721634,28.5480805383
{'DURAK_ADI': 'Millet Cad.'},41.0322745583,28.5485241397
{'DURAK_ADI': 'Kültür Cad.'},41.0344390826,28.5501637369
{'DURAK_ADI': 'Bayrak Cad.'},41.0329498776,28.5504192301
{'DURAK_ADI': 'Atatürk 2 Cad.'},41.0310704197,28.5495498421
{'DURAK_ADI': 'Atatürk 2 Cad.'},41.0301602766,28.5517515692
{'DURAK_ADI': 'Atatürk 2 Cad.'},41.0300735526,28.5541613823
{'DURAK_ADI': 'Atatürk 2 Cad.'},41.0337852704,28.522324837
{'DURAK_ADI': 'Okul Yolu Cad.'},41.0348319147,28.5216030222
{'DURAK_ADI': 'Aktuğ Sk.'},41.0349747403,28.5240593477
{'DURAK_ADI': 'Kevser Sk.'},41.0354531722,28.5188119141
{'DURAK_ADI': 'Çayırlar Cad.'},41.0472718499,28.520628082
{'DURAK_ADI': 'Kırsal Sk.'},41.0419275549,28.5202128298
{'DURAK_ADI': 'Çatalca Yolu Cad.'},41.0260999099,28.5569768853
{'DURAK_ADI': 'Çatalca Yolu Cad.'},41.0233176716,28.5608125577
{'DURAK_ADI': 'Çatalca Yolu Cad.'},41.020533616,28.5638224998
{'DURAK_ADI': 'Çatalca Yolu Cad.'},41.0233865535,28.5609145674
{'DURAK_ADI': 'Atatürk 2 Cad.'},41.0301883162,28.5522405293
{'DURAK_ADI': 'Millet Cad.'},41.0371589101,28.5492776923
{'DURAK_ADI': 'İsmetpaşa Cad.'},41.025420692,28.5574052906
{'DURAK_ADI': 'Sultan Murat Cad.'},41.0202795763,28.5413636614
{'DURAK_ADI': 'İsmetpaşa Cad.'},41.0253724673,28.5534750151
{'DURAK_ADI': 'TURBAN CAD'},41.2443900367,29.0319748101
{'DURAK_ADI': 'ESKİ LONDRA ASFALTI CADDESİ'},41.0133545074,28.8779019456
{'DURAK_ADI': 'B.EVLER OTO SANAYİ'},41.0129929032,28.8431706325
{'DURAK_ADI': 'YAYLA'},41.0007694855,28.8613283812
{'DURAK_ADI': '450 Konutlar Cad.'},40.9010040248,29.2487676444
{'DURAK_ADI': '450 Konutlar Cad.'},40.8982904941,29.2493572074
{'DURAK_ADI': 'Olimpiyat Cad.'},40.9007593772,29.2463183506
{'DURAK_ADI': 'Dünya Sk.'},40.8823505531,29.2312293827
{'DURAK_ADI': 'Ankara Cad.'},40.8492759871,29.3052628849
{'DURAK_ADI': '10.Yol Sk.'},40.886980637,29.3637340698
{'DURAK_ADI': 'Aydınlı Yolu Cad.'},40.8809332298,29.2409646523
{'DURAK_ADI': 'Üniversite Cad.'},40.8906394631,29.3727297101
{'DURAK_ADI': 'Mahmutbey Cad.'},41.0176970953,28.841619398
{'DURAK_ADI': 'Erzincan Cad.'},40.886042945,29.265452231
{'DURAK_ADI': 'Erzincan Cad.'},40.886095413,29.2656614161
{'DURAK_ADI': 'Hürriyet Bulvarı'},41.1103795781,28.7963480926
{'DURAK_ADI': 'Hürriyet Bulvarı'},41.1104155489,28.7962201217
{'DURAK_ADI': 'GÖÇMEN KONUTLARI'},41.1025034555,28.7933036289
{'DURAK_ADI': 'İkitelli Cad.'},41.0579759921,28.7911823113
{'DURAK_ADI': 'GALVO TEKNİK CAMİİ'},41.0784965982,28.8088833844
{'DURAK_ADI': 'Gözdağı Cad.'},40.8950594392,29.2542887288
{'DURAK_ADI': 'Dolayoba Cad.'},40.8837193862,29.2420262806
{'DURAK_ADI': 'Tünel Sk.'},40.8854983145,29.244134424
{'DURAK_ADI': 'Farabi Cad.'},40.8870215077,29.2464648869
{'DURAK_ADI': 'Daday Sk.'},40.8877820657,29.250176351
{'DURAK_ADI': 'Amasya Sk.'},40.8887381791,29.2515157321
{'DURAK_ADI': 'İnönü Cad.'},40.8886291532,29.2568138268
{'DURAK_ADI': 'İnönü Cad.'},40.8927194269,29.2564413555
{'DURAK_ADI': 'İnönü Cad.'},40.8926779198,29.2564158082
{'DURAK_ADI': 'Dolayoba Cad.'},40.8837533123,29.2418717384
{'DURAK_ADI': 'Adnan Menderes Bulvarı'},40.8862912343,29.2369580881
{'DURAK_ADI': 'Mostar Bulvarı'},40.883740719,29.2391140845
{'DURAK_ADI': 'Yalı Sk.'},40.9239420864,29.2182409232
{'DURAK_ADI': 'Yalı Sk.'},40.9206063123,29.2169773518
{'DURAK_ADI': 'Yalı Sk.'},40.9222638052,29.2170720598
{'DURAK_ADI': 'İSTOÇ YOLU'},41.069413655,28.8137728604
{'DURAK_ADI': 'Safa Cad.'},40.9138812646,29.2831594918
{'DURAK_ADI': 'Ertuğrulgazi Cad.'},40.9140952165,29.2584785683
{'DURAK_ADI': 'YUNUS EMRE'},41.0341403656,28.7747180335
{'DURAK_ADI': 'HALKALI MEYDAN'},41.0352749987,28.7888730017
{'DURAK_ADI': 'Hatboyu Cad.'},40.8343722159,29.3154093552
{'DURAK_ADI': 'Şehitler Cad.'},40.8278213545,29.3279340701
{'DURAK_ADI': 'Hatboyu Cad.'},40.8430621404,29.3007082791
{'DURAK_ADI': 'Akasya Sk.'},40.878650571,29.228516995
